job_id,title,url,location,job_type,salary,total_fields,common_fields,unique_fields
senior-accountant-hr71919,Senior Accountant - (HR71919),https://saganrecruitment.com/job/senior-accountant-hr71919/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
trust-accounting-assistant-hr97324,Trust Accounting Assistant - (HR97324),https://saganrecruitment.com/job/trust-accounting-assistant-hr97324/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
real-estate-transactions-coordinator-hr89405,Real Estate Transactions Coordinator - (HR89405),https://saganrecruitment.com/job/real-estate-transactions-coordinator-hr89405/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
event-partnerships-sales-specialist-hr73567,Event Partnerships & Sales Specialist - (HR73567),https://saganrecruitment.com/job/event-partnerships-sales-specialist-hr73567/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
maintenance-coordinator-hr81486,Maintenance Coordinator - (HR81486),https://saganrecruitment.com/job/maintenance-coordinator-hr81486/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
tenant-operations-coordinator-hr56081,Tenant Operations Coordinator - (HR56081),https://saganrecruitment.com/job/tenant-operations-coordinator-hr56081/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
senior-integration-developer-celigo-netsuite-hr98972,Senior Integration Developer (Celigo / NetSuite) - (HR98972),https://saganrecruitment.com/job/senior-integration-developer-celigo-netsuite-hr98972/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
account-executive-full-cycle-hr67574,Client Account Executive - (HR67574),https://saganrecruitment.com/job/account-executive-full-cycle-hr67574/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
executive-assistant-strategic-operations-wg14194,Executive Assistant (Strategic Operations) - (WG14194),https://saganrecruitment.com/job/executive-assistant-strategic-operations-wg14194/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
administrative-assistant-hr67617,Administrative Assistant - (HR67617),https://saganrecruitment.com/job/administrative-assistant-hr67617/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
accounts-payable-specialist-hr59377,Accounts Payable Specialist - (HR59377),https://saganrecruitment.com/job/accounts-payable-specialist-hr59377/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
technical-support-specialist-hr67296,Technical Support Specialist - (HR67296),https://saganrecruitment.com/job/technical-support-specialist-hr67296/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
finance-admin-operations-manager-hr91053,Finance & Admin Operations Manager - (HR91053),https://saganrecruitment.com/job/finance-admin-operations-manager-hr91053/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
senior-system-engineer-wg14192,Senior System Engineer - (WG14192),https://saganrecruitment.com/job/senior-system-engineer-wg14192/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
staff-accountant-mortgage-lending-hr84782,Staff Accountant - Mortgage Lending - (HR84782),https://saganrecruitment.com/job/staff-accountant-mortgage-lending-hr84782/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
office-manager-hr35620,Office Manager - (HR35620),https://saganrecruitment.com/job/office-manager-hr35620/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
construction-accountant-hr80480,Construction Accountant - (HR80480),https://saganrecruitment.com/job/construction-accountant-hr80480/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
customer-service-booking-specialist-hr75536,Customer Service & Booking Specialist - (HR75536),https://saganrecruitment.com/job/customer-service-booking-specialist-hr75536/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
inside-sales-representative-hr50131,Inside Sales Representative - (HR50131),https://saganrecruitment.com/job/inside-sales-representative-hr50131/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
marketing-operations-campaigns-coordinator-hr37268,Marketing Operations & Campaigns Coordinator - (HR37268),https://saganrecruitment.com/job/marketing-operations-campaigns-coordinator-hr37268/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
regional-operations-coordinator-hr61025,Regional Operations Coordinator - (HR61025),https://saganrecruitment.com/job/regional-operations-coordinator-hr61025/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
leasing-coordinator-phone-based-hr68944,Leasing Coordinator (Phone-Based) - (HR68944),https://saganrecruitment.com/job/leasing-coordinator-phone-based-hr68944/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
senior-it-systems-administrator-team-lead-hr51458,Senior IT Systems Administrator & Team Lead - (HR51458),https://saganrecruitment.com/job/senior-it-systems-administrator-team-lead-hr51458/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
graphic-production-designer-hr91695,Graphic & Production Designer - (HR91695),https://saganrecruitment.com/job/graphic-production-designer-hr91695/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
outbound-scheduling-sales-specialist-hr88078,Outbound Scheduling & Sales Specialist - (HR88078),https://saganrecruitment.com/job/outbound-scheduling-sales-specialist-hr88078/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
